训练轮数,充电站利润,电动汽车成本,拥堵成本,充电站策略熵,电动汽车策略熵,成本方差,充电站策略集中度
32,14.459366206743116,0.70641997644953,0.0,1.4706266427579695,1.514607739174977,0.08000000000000006,0.34146144410189605
33,13.295430893109074,0.7076185625511403,0.0,1.5699515713918382,1.5200729929769745,0.08000000000000006,0.24742725207938793
34,13.788921560884805,0.7059809016265339,0.0,1.5367159674786561,1.517941629714636,0.08000000000000006,0.29471391007882153
35,14.053150375450768,0.7067450125571785,0.0051990323335667265,1.4594694724068398,1.5187741093431095,0.07847760496060636,0.38762426114424775
36,13.404068514271477,0.6959265838296389,0.0004179189013023519,1.535012389871148,1.5082801094603462,0.0798695664362942,0.2934410778237291
37,12.319134938451619,0.6985000759934199,0.0018808770439029555,1.5773788925846333,1.511558394053806,0.07947544053872144,0.25168815439535486
38,12.733569845351894,0.6988651462459741,0.00022034167635500465,1.5932009102542761,1.5132145798747192,0.07993100653853534,0.2381744333146544
39,13.740844001003286,0.7079093236071212,4.3378967013943425e-05,1.5782734870623687,1.5236337770100037,0.07998623813670033,0.2536855926994067
40,13.81047428533909,0.7066557633700792,0.011490666242903005,1.5571941660151314,1.5142626333216325,0.07683166069144519,0.2769798763314782
41,14.027177001257769,0.7035826642517885,0.0007033090293922844,1.5263654798250281,1.51876663325288,0.07978130883819504,0.2931309091648606
42,13.785973205294297,0.7054084613215963,0.0025036991466064144,1.5135041292846756,1.5191640092638503,0.07927284845934882,0.3454838955308286
43,13.443415113338062,0.7002991892979722,0.0071504235975090235,1.5199663468797133,1.5113970169900717,0.07785979930055592,0.3328480188221101
44,13.523216385488425,0.7158862298344449,0.026961462653476004,1.5876543413553963,1.5187393681788117,0.07339913026676309,0.2500636797373731
45,13.31547497741364,0.7160472494990067,0.03015768677675955,1.5780539743060138,1.5135039327187232,0.07245479415575827,0.2756975736175326
46,13.40744940918356,0.7233195130590879,0.04877061347840636,1.5673961038577269,1.5099595032870183,0.06786437065968208,0.2812836508487526
47,13.628611877746135,0.7248136974183983,0.04200119622884163,1.5547157939557408,1.5185002054637124,0.06944671839509844,0.28899670593318416
48,13.825039259681635,0.7303990649281803,0.04654086702531815,1.4818710078085546,1.5168303941680916,0.07085271195678663,0.354281729192992
49,13.461377404031296,0.727983869530386,0.054885372051278455,1.4500426219719804,1.507185573910962,0.0674309279548017,0.33865339063375116
50,13.214062342137346,0.7526604204300523,0.0950746088833334,1.4784679490089045,1.5073008523369864,0.06235154584030398,0.28800871717514825
51,12.924037173727033,0.7815033499274071,0.13960774436623472,1.5927841390516408,1.498154777976686,0.06169083215062261,0.23304668642029194
52,13.695369680890247,0.7745461284011692,0.10808939265250996,1.5138688846113055,1.4995666779870178,0.06293998057703196,0.2928996106404986
53,13.273720449838573,0.7287563359170207,0.01978967867332392,1.4587372172952247,1.4981103715631712,0.07519148817269587,0.30687958160659695
54,13.48785991092001,0.7498128305559301,0.060011906693052446,1.5954540961838375,1.486923581657027,0.06682007457011056,0.23306783030295702
55,13.755200384131058,0.7532630277197936,0.06578586843101882,1.5770882891845874,1.468201976345448,0.06488866129186295,0.24743933194012466
56,14.073161642953675,0.7721069183560487,0.08767292291810883,1.5868178464374298,1.4641746850473356,0.06540219827675413,0.254011094371013
57,12.239872721469178,0.7511775606330172,0.044082011365583956,1.4875186640136033,1.4288499194606663,0.07112639234900037,0.3186367112185111
58,12.21867941919683,0.7465651697736182,0.05265898128013613,1.5121793511951114,1.4495961655904184,0.06960571736391379,0.32279302106220387
59,13.008768091770145,0.7721904409896446,0.09391313831810334,1.559915738688523,1.4808382544406384,0.06353669771186396,0.250000771170527
60,13.257838333072302,0.8179942529968361,0.1847864851079953,1.5567248784255088,1.4650704503522272,0.05917995802436517,0.2700688287287625
61,14.345540393581933,0.788003502001605,0.13273344043270913,1.4656517898862556,1.4787781921237482,0.06633136685987402,0.3371564383946073
62,15.535064423506963,0.7990674534001382,0.15316486727802897,1.3617538801187736,1.4773868863917625,0.05747892427939231,0.4358307080300575
63,15.019221366194945,0.7790422623258837,0.1200561008598599,1.3007995499008116,1.4872208225195684,0.06413878280581428,0.4487096808580929
64,14.011553503907773,0.7959587512311992,0.157726638916541,1.474586744381162,1.4723966825478667,0.06873552779501767,0.316498882703524
65,15.387636159143769,0.8042784061778387,0.15285189758164078,1.4526069655023113,1.4731663240527972,0.05840586479362069,0.36689993785782304
66,14.70480719292758,0.7765179480004943,0.11041448738901621,1.4994078857548911,1.4664895062309626,0.05761415819236164,0.31828510988528985
67,13.562245634154717,0.778296131324707,0.11344439111950111,1.6024981161010794,1.4770687051042959,0.06673540733905128,0.22927468989727678
